nom pc;gm_esu;commentaires
L05-POR00061;mobile;charriot2
L05-POR00062;mobile;charriot2
L05-POR00063;mobile;charriot2
L05-POR00064;mobile;charriot2
L05-POR00065;mobile;charriot2
L05-POR00066;mobile;charriot2
L05-POR00067;mobile;charriot2
L05-POR00068;mobile;charriot2
L05-POR00069;mobile;charriot2
L05-POR00070;mobile;charriot2
L05-POR00071;mobile;charriot2
L05-POR00072;mobile;charriot2
L05-POR00073;mobile;charriot2
L05-POR00074;;ddfpt
